iter	Passed	Remaining
0	144	144696
1	145	72623
2	146	48576
3	146	36574
4	147	29358
5	148	24549
6	148	21115
7	149	18537
8	150	16529
9	150	14919
10	151	13600
11	151	12499
12	152	11571
13	152	10770
14	153	10074
15	153	9465
16	155	8990
17	156	8551
18	157	8125
19	157	7737
20	158	7390
21	159	7071
22	159	6778
23	160	6511
24	160	6264
25	161	6038
26	161	5826
27	162	5629
28	162	5448
29	163	5280
30	163	5125
31	164	4977
32	165	4837
33	165	4709
34	166	4584
35	166	4465
36	167	4355
37	167	4251
38	170	4198
39	171	4116
40	172	4027
41	172	3939
42	173	3855
43	173	3774
44	174	3698
45	174	3626
46	175	3557
47	175	3489
48	176	3425
49	177	3365
50	177	3306
51	178	3250
52	178	3195
53	179	3141
54	179	3089
55	180	3038
56	180	2991
57	181	2944
58	181	2900
59	182	2857
60	182	2816
61	184	2785
62	184	2750
63	185	2717
64	186	2680
65	186	2646
66	187	2611
67	188	2578
68	188	2546
69	189	2515
70	189	2485
71	190	2455
72	191	2426
73	191	2398
74	192	2369
75	192	2343
76	193	2316
77	193	2291
78	194	2265
79	194	2242
80	195	2217
81	196	2194
82	196	2168
83	196	2146
84	197	2124
85	198	2107
86	199	2090
87	200	2072
88	200	2053
89	201	2034
90	201	2015
91	202	1997
92	202	1979
93	203	1961
94	204	1944
95	204	1927
96	205	1909
97	205	1893
98	206	1876
99	206	1860
100	207	1844
101	207	1828
102	208	1813
103	208	1798
104	209	1784
105	209	1770
106	210	1756
107	211	1742
108	211	1729
109	212	1715
110	212	1702
111	214	1699
112	215	1688
113	215	1676
114	216	1664
115	216	1652
116	217	1639
117	217	1627
118	218	1616
119	218	1604
120	219	1593
121	219	1581
122	220	1570
123	220	1559
124	221	1548
125	221	1538
126	222	1527
127	222	1517
128	223	1507
129	223	1497
130	224	1487
131	224	1477
132	225	1468
133	225	1458
134	226	1449
135	226	1440
136	227	1431
137	227	1422
138	228	1415
139	229	1407
140	229	1400
141	230	1391
142	230	1383
143	231	1376
144	232	1368
145	232	1360
146	233	1352
147	233	1344
148	234	1337
149	234	1329
150	235	1322
151	235	1315
152	236	1307
153	236	1300
154	237	1293
155	237	1286
156	238	1279
157	238	1273
158	239	1266
159	239	1259
160	240	1252
161	240	1245
162	241	1239
163	241	1232
164	242	1226
165	242	1220
166	243	1215
167	244	1212
168	245	1207
169	246	1203
170	247	1198
171	247	1192
172	248	1186
173	248	1181
174	249	1175
175	250	1170
176	250	1165
177	251	1161
178	252	1156
179	252	1150
180	253	1145
181	253	1140
182	254	1135
183	254	1130
184	255	1124
185	255	1119
186	256	1114
187	256	1109
188	257	1104
189	257	1099
190	258	1095
191	259	1091
192	260	1087
193	260	1083
194	261	1079
195	261	1074
196	262	1069
197	263	1065
198	263	1061
199	264	1056
200	264	1052
201	265	1047
202	265	1043
203	266	1039
204	266	1034
205	267	1030
206	267	1026
207	268	1022
208	269	1018
209	269	1014
210	270	1010
211	270	1006
212	271	1002
213	271	998
214	272	994
215	273	991
216	274	989
217	275	987
218	275	984
219	276	980
220	277	976
221	277	973
222	278	970
223	279	966
224	279	963
225	280	959
226	280	956
227	281	952
228	281	949
229	282	945
230	283	942
231	283	938
232	284	935
233	284	932
234	285	928
235	285	925
236	286	921
237	286	918
238	287	914
239	287	911
240	288	908
241	289	906
242	290	904
243	290	901
244	291	898
245	292	895
246	292	892
247	293	889
248	293	886
249	294	883
250	294	880
251	295	877
252	295	873
253	296	870
254	297	867
255	297	865
256	298	862
257	298	859
258	299	856
259	299	853
260	300	850
261	300	847
262	301	844
263	302	842
264	302	839
265	303	837
266	304	835
267	305	833
268	305	830
269	306	827
270	306	825
271	307	822
272	307	820
273	308	817
274	309	815
275	309	812
276	310	809
277	310	806
278	311	804
279	311	802
280	312	799
281	313	797
282	313	794
283	314	792
284	314	789
285	315	788
286	316	785
287	317	783
288	317	781
289	318	780
290	319	779
291	320	777
292	321	775
293	322	773
294	322	771
295	323	769
296	324	767
297	325	765
298	325	763
299	326	761
300	326	758
301	327	756
302	327	754
303	328	752
304	329	750
305	329	748
306	330	746
307	331	743
308	331	741
309	332	739
310	333	737
311	333	736
312	335	735
313	336	734
314	336	732
315	337	730
316	338	728
317	338	726
318	339	724
319	339	722
320	340	720
321	341	718
322	341	716
323	342	713
324	342	711
325	343	709
326	343	707
327	344	705
328	345	703
329	345	701
330	346	700
331	346	698
332	347	695
333	348	694
334	348	692
335	349	690
336	350	689
337	350	687
338	351	685
339	352	683
340	352	681
341	353	679
342	353	677
343	354	675
344	354	673
345	355	671
346	356	670
347	356	668
348	357	666
349	357	664
350	358	662
351	358	660
352	359	658
353	359	656
354	360	654
355	361	653
356	361	651
357	362	649
358	363	649
359	364	648
360	365	646
361	366	645
362	366	643
363	367	642
364	368	640
365	368	638
366	369	636
367	369	635
368	370	633
369	371	631
370	371	630
371	372	628
372	372	626
373	373	624
374	373	623
375	374	621
376	374	619
377	375	617
378	375	616
379	376	614
380	376	612
381	377	610
382	378	609
383	379	608
384	379	606
385	380	605
386	381	603
387	381	601
388	382	600
389	382	598
390	383	597
391	384	595
392	384	594
393	385	592
394	385	590
395	386	589
396	386	587
397	387	586
398	388	584
399	388	582
400	389	581
401	389	580
402	390	578
403	390	576
404	391	575
405	392	573
406	393	573
407	394	572
408	395	571
409	395	569
410	396	568
411	396	566
412	397	565
413	398	563
414	398	562
415	399	560
416	400	559
417	400	557
418	401	556
419	401	554
420	402	553
421	402	551
422	403	550
423	403	548
424	404	547
425	405	545
426	405	544
427	406	543
428	406	541
429	407	540
430	408	539
431	409	539
432	410	537
433	411	536
434	411	534
435	412	533
436	412	532
437	413	530
438	414	529
439	414	527
440	415	526
441	415	525
442	416	523
443	417	522
444	417	520
445	418	519
446	418	518
447	419	516
448	419	515
449	420	513
450	420	512
451	421	510
452	421	509
453	424	510
454	425	509
455	425	508
456	426	506
457	427	505
458	427	504
459	428	503
460	429	501
461	429	500
462	430	499
463	430	497
464	431	496
465	432	495
466	432	493
467	433	492
468	433	491
469	434	489
470	434	488
471	435	486
472	435	485
473	436	484
474	436	482
475	437	481
476	438	481
477	439	479
478	440	478
479	440	477
480	441	476
481	441	474
482	442	473
483	443	472
484	443	471
485	444	469
486	444	468
487	445	467
488	446	466
489	446	465
490	447	463
491	447	462
492	448	461
493	448	459
494	449	458
495	449	457
496	450	455
497	451	454
